site,x,y,z
V0197,562809.9091909033,3339700.371034871,492.06109619140625
V0198,615459.9091909033,3339670.371034871,1003.0279541015625
V0199,640299.9091909033,3339670.371034871,796.8648071289062
V0200,617019.9091909033,3339640.371034871,1006.9317016601562
V0201,582219.9091909033,3339610.371034871,608.7103271484375
V0202,619839.9091909033,3339610.371034871,704.6278686523438
V0203,609639.9091909033,3339520.371034871,766.3443603515625
V0204,635289.9091909033,3339520.371034871,712.421142578125
V0205,552789.9091909033,3339490.371034871,220.54327392578125
V0206,632799.9091909033,3339490.371034871,333.30072021484375
V0207,587439.9091909033,3339460.371034871,361.0331115722656
V0208,590169.9091909033,3339460.371034871,276.4936828613281
V0209,652719.9091909033,3339460.371034871,562.7831420898438
V0210,542679.9091909033,3339430.371034871,312.00933837890625
V0211,544839.9091909033,3339430.371034871,599.0138549804688
V0212,557349.9091909033,3339430.371034871,376.07830810546875
V0213,570099.9091909033,3339430.371034871,410.0345458984375
V0214,612459.9091909033,3339430.371034871,876.8870849609375
V0215,654969.9091909033,3339430.371034871,665.5439453125
V0216,674799.9091909033,3339430.371034871,1065.4586181640625
V0217,667479.9091909033,3338110.371034871,475.3059997558594
V0218,587529.9091909033,3338080.371034871,437.8677673339844
V0219,592299.9091909033,3338080.371034871,543.1256713867188
V0220,644859.9091909033,3338080.371034871,304.3824768066406
V0221,655089.9091909033,3338080.371034871,803.6522827148438
V0222,625269.9091909033,3338020.371034871,648.6753540039062
V0223,632799.9091909033,3338020.371034871,563.9047241210938
V0224,657129.9091909033,3337990.371034871,420.0220031738281
V0225,664689.9091909033,3337990.371034871,471.2103271484375
V0226,542889.9091909033,3337960.371034871,899.7098388671875
V0227,627879.9091909033,3337900.371034871,437.3897705078125
V0228,639519.9091909033,3337870.371034871,672.7960815429688
V0229,594639.9091909033,3337840.371034871,473.7494812011719
V0230,547869.9091909033,3337810.371034871,558.2304077148438
V0231,641979.9091909033,3337810.371034871,314.24993896484375
V0232,552729.9091909033,3337720.371034871,684.2317504882812
V0233,599409.9091909033,3337690.371034871,615.8756713867188
V0234,603069.9091909033,3337690.371034871,505.69708251953125
V0235,659409.9091909033,3337690.371034871,373.45062255859375
V0236,675549.9091909033,3337660.371034871,985.252685546875
V0237,577929.9091909033,3337630.371034871,571.868408203125
V0238,629499.9091909033,3337630.371034871,787.5432739257812
V0239,584949.9091909033,3337600.371034871,470.5455017089844
V0240,557829.9091909033,3337540.371034871,438.8551025390625
V0241,562239.9091909033,3337540.371034871,522.5957641601562
