site,x,y,z
V0037,555699.9091909033,3348640.371034871,614.3534545898438
V0038,668169.9091909033,3348580.371034871,472.53271484375
V0039,548199.9091909033,3348550.371034871,825.3013916015625
V0040,628869.9091909033,3348550.371034871,332.69390869140625
V0041,634149.9091909033,3348550.371034871,257.9964904785156
V0042,569289.9091909033,3348520.371034871,849.072509765625
V0043,563769.9091909033,3348490.371034871,738.7678833007812
V0044,595719.9091909033,3348460.371034871,696.4041137695312
V0045,604239.9091909033,3348460.371034871,491.4990539550781
V0046,608349.9091909033,3348430.371034871,197.21466064453125
V0047,578319.9091909033,3348370.371034871,468.4739685058594
V0048,661689.9091909033,3348370.371034871,912.5709838867188
V0049,601599.9091909033,3348310.371034871,792.752197265625
V0050,605859.9091909033,3348310.371034871,493.5048522949219
V0051,589089.9091909033,3348280.371034871,507.7164611816406
V0052,543969.9091909033,3348250.371034871,524.3945922851562
V0053,636009.9091909033,3348220.371034871,679.9163208007812
V0054,546429.9091909033,3348190.371034871,622.9305419921875
V0055,551199.9091909033,3346840.371034871,618.23876953125
V0056,631389.9091909033,3346840.371034871,295.80841064453125
V0057,548499.9091909033,3346810.371034871,458.10003662109375
V0058,601029.9091909033,3346810.371034871,724.79248046875
V0059,553539.9091909033,3346750.371034871,613.4339599609375
V0060,671499.9091909033,3346750.371034871,508.7455139160156
V0061,663339.9091909033,3346720.371034871,403.7940979003906
V0062,556659.9091909033,3346690.371034871,372.0547790527344
V0063,576669.9091909033,3346690.371034871,271.7821044921875
V0064,579159.9091909033,3346690.371034871,490.5871276855469
V0065,580809.9091909033,3346690.371034871,355.7956848144531
V0066,660789.9091909033,3346660.371034871,712.09619140625
V0067,546729.9091909033,3346600.371034871,480.7961730957031
V0068,669099.9091909033,3346600.371034871,689.1939697265625
V0069,636309.9091909033,3346570.371034871,845.276611328125
V0070,650739.9091909033,3346540.371034871,493.6876525878906
V0071,544209.9091909033,3346450.371034871,702.650634765625
V0072,604299.9091909033,3346450.371034871,560.6380004882812
V0073,673179.9091909033,3346420.371034871,508.6897277832031
V0074,573519.9091909033,3346390.371034871,420.906494140625
V0075,598779.9091909033,3346390.371034871,321.36749267578125
V0076,643179.9091909033,3346360.371034871,532.5134887695312
V0077,646359.9091909033,3346360.371034871,378.7412414550781
V0078,676809.9091909033,3346330.371034871,774.1887817382812
V0079,618129.9091909033,3346270.371034871,380.6253967285156
V0080,588549.9091909033,3346240.371034871,650.0763549804688
V0081,626349.9091909033,3346210.371034871,304.099853515625
V0082,654309.9091909033,3346180.371034871,524.424560546875
V0083,610719.9091909033,3346150.371034871,251.96176147460938
