site,x,y,z
V0189,580419.9091909033,3341380.371034871,485.9468994140625
V0190,602049.9091909033,3341350.371034871,420.84625244140625
V0191,625569.9091909033,3341350.371034871,640.9127197265625
V0192,626919.9091909033,3341350.371034871,527.8057250976562
V0193,570219.9091909033,3341320.371034871,307.8929138183594
V0194,560139.9091909033,3341290.371034871,581.110107421875
V0195,549639.9091909033,3341260.371034871,476.23443603515625
V0196,598089.9091909033,3341260.371034871,688.4745483398438
V0197,614379.9091909033,3341260.371034871,901.039794921875
V0198,629409.9091909033,3341200.371034871,717.3603515625
V0199,632799.9091909033,3341140.371034871,311.78997802734375
V0200,544449.9091909033,3341080.371034871,406.7217102050781
V0201,654849.9091909033,3341020.371034871,523.8590087890625
V0202,673029.9091909033,3341020.371034871,1054.9298095703125
V0203,543009.9091909033,3340960.371034871,374.1357727050781
V0204,612999.9091909033,3340960.371034871,646.7267456054688
V0205,644679.9091909033,3340960.371034871,401.7535705566406
V0206,592749.9091909033,3340930.371034871,491.74212646484375
V0207,574509.9091909033,3340900.371034871,498.7658996582031
V0208,572919.9091909033,3340840.371034871,469.78070068359375
V0209,637779.9091909033,3340840.371034871,1169.308349609375
V0210,609609.9091909033,3340810.371034871,537.3345947265625
V0211,665379.9091909033,3340810.371034871,748.8319702148438
V0212,670029.9091909033,3340810.371034871,476.771728515625
V0213,607599.9091909033,3340780.371034871,954.7714233398438
V0214,635319.9091909033,3340780.371034871,490.9169616699219
V0215,554979.9091909033,3340660.371034871,256.7521667480469
V0216,617499.9091909033,3340660.371034871,742.7661743164062
V0217,580149.9091909033,3339340.371034871,456.4902038574219
V0218,660099.9091909033,3339340.371034871,365.36767578125
V0219,572649.9091909033,3339280.371034871,677.1715698242188
V0220,597759.9091909033,3339280.371034871,523.2579956054688
V0221,582129.9091909033,3339250.371034871,548.6937866210938
V0222,637119.9091909033,3339250.371034871,929.2290649414062
V0223,557349.9091909033,3339130.371034871,481.8992004394531
V0224,574509.9091909033,3339130.371034871,526.97314453125
V0225,645459.9091909033,3339130.371034871,324.2862548828125
V0226,595479.9091909033,3339100.371034871,576.05810546875
V0227,562809.9091909033,3339070.371034871,571.8869018554688
V0228,565509.9091909033,3339070.371034871,496.0631103515625
V0229,590499.9091909033,3339070.371034871,344.34326171875
V0230,605469.9091909033,3339070.371034871,343.1452941894531
V0231,616989.9091909033,3339070.371034871,1048.0018310546875
V0232,674469.9091909033,3339070.371034871,1225.3582763671875
V0233,657669.9091909033,3339010.371034871,572.2255859375
V0234,619419.9091909033,3338950.371034871,690.6387939453125
